County,State,Average Temperature,Latitude (generated),Longitude (generated),Year,Month
Wright,Iowa,36.55,42.7343,-93.7351,2018,4
Worth,Iowa,32.38,43.3787,-93.2608,2018,4
Woodbury,Iowa,41.17,42.3866,-96.0407,2018,4
Winneshiek,Iowa,37.42,43.2932,-91.8426,2018,4
Winnebago,Iowa,33.4,43.3803,-93.7342,2018,4
Webster,Iowa,36.85,42.4344,-94.1647,2018,4
Wayne,Iowa,41,40.7372,-93.327,2018,4
Washington,Iowa,40.42,41.3304,-91.7158,2018,4
Warren,Iowa,40.1,41.3336,-93.5592,2018,4
Wapello,Iowa,43.55,41.0308,-92.4096,2018,4
Van Buren,Iowa,42.05,40.7517,-91.9485,2018,4
Union,Iowa,42,41.0298,-94.2429,2018,4
Taylor,Iowa,42.15,40.734,-94.7,2018,4
Tama,Iowa,37.98,42.0847,-92.533,2018,4
Story,Iowa,41.65,42.037,-93.4652,2018,4
Sioux,Iowa,37.07,43.0847,-96.1572,2018,4
Shelby,Iowa,40.05,41.6806,-95.3254,2018,4
Scott,Iowa,41.35,41.6065,-90.62,2018,4
Sac,Iowa,36.4,42.3887,-95.0899,2018,4
Ringgold,Iowa,42.28,40.7361,-94.2434,2018,4
Poweshiek,Iowa,37.73,41.6853,-92.5332,2018,4
Pottawattamie,Iowa,41.5,41.3347,-95.5518,2018,4
Polk,Iowa,40.98,41.6673,-93.5815,2018,4
Pocahontas,Iowa,36,42.7329,-94.6786,2018,4
Plymouth,Iowa,37.07,42.7356,-96.2455,2018,4
Palo Alto,Iowa,36.73,43.0818,-94.6781,2018,4
Page,Iowa,42.12,40.7362,-95.1569,2018,4
Osceola,Iowa,33.27,43.3805,-95.624,2018,4
Obrien,Iowa,38.55,43.0766,-95.6242,2018,4
Muscatine,Iowa,41.43,41.47,-91.0769,2018,4
Montgomery,Iowa,42.53,41.0305,-95.1562,2018,4
Monroe,Iowa,40.98,41.0265,-92.8691,2018,4
Monona,Iowa,39.18,42.0396,-95.9525,2018,4
Mitchell,Iowa,35.65,43.3501,-92.7891,2018,4
Mills,Iowa,41.75,41.0311,-95.6218,2018,4
Marshall,Iowa,38.03,42.0363,-92.9991,2018,4
Marion,Iowa,41.4,41.3353,-93.0995,2018,4
Mahaska,Iowa,41.15,41.3323,-92.6409,2018,4
Madison,Iowa,41,41.3347,-94.0158,2018,4
Lyon,Iowa,35.9,43.3789,-96.1922,2018,4
Lucas,Iowa,41.12,41.0271,-93.3276,2018,4
Louisa,Iowa,41.57,41.2473,-91.2998,2018,4
Linn,Iowa,42.67,42.0798,-91.5998,2018,4
Lee,Iowa,43.32,40.5953,-91.5386,2018,4
Kossuth,Iowa,35.38,43.2073,-94.2065,2018,4
Keokuk,Iowa,39.9,41.3368,-92.1791,2018,4
Jones,Iowa,38.78,42.1213,-91.1314,2018,4
Johnson,Iowa,42.47,41.645,-91.5998,2018,4
Jefferson,Iowa,41.83,41.036,-91.9487,2018,4
Jasper,Iowa,39.75,41.6847,-93.0574,2018,4
Jackson,Iowa,37.8,42.2091,-90.6306,2018,4
Iowa,Iowa,38.45,41.6805,-92.067,2018,4
