County,State,Average Temperature,Latitude (generated),Longitude (generated),Year,Month
Wright,Iowa,71.55,42.7343,-93.7351,2016,8
Worth,Iowa,68.82,43.3787,-93.2608,2016,8
Woodbury,Iowa,74.03,42.3866,-96.0407,2016,8
Winneshiek,Iowa,72.52,43.2932,-91.8426,2016,8
Winnebago,Iowa,69.63,43.3803,-93.7342,2016,8
Webster,Iowa,69.6,42.4344,-94.1647,2016,8
Wayne,Iowa,73.34,40.7372,-93.327,2016,8
Washington,Iowa,73.77,41.3304,-91.7158,2016,8
Warren,Iowa,74.02,41.3336,-93.5592,2016,8
Wapello,Iowa,73.77,41.0308,-92.4096,2016,8
Van Buren,Iowa,74.69,40.7517,-91.9485,2016,8
Union,Iowa,72.42,41.0298,-94.2429,2016,8
Taylor,Iowa,73.97,40.734,-94.7,2016,8
Tama,Iowa,71.21,42.0847,-92.533,2016,8
Story,Iowa,72.81,42.037,-93.4652,2016,8
Sioux,Iowa,71.39,43.0847,-96.1572,2016,8
Shelby,Iowa,72.24,41.6806,-95.3254,2016,8
Scott,Iowa,75.26,41.6065,-90.62,2016,8
Sac,Iowa,70.39,42.3887,-95.0899,2016,8
Ringgold,Iowa,72.81,40.7361,-94.2434,2016,8
Poweshiek,Iowa,71.44,41.6853,-92.5332,2016,8
Pottawattamie,Iowa,72.98,41.3347,-95.5518,2016,8
Polk,Iowa,73.08,41.6673,-93.5815,2016,8
Pocahontas,Iowa,70.9,42.7329,-94.6786,2016,8
Plymouth,Iowa,71.39,42.7356,-96.2455,2016,8
Palo Alto,Iowa,71.16,43.0818,-94.6781,2016,8
Page,Iowa,71.45,40.7362,-95.1569,2016,8
Osceola,Iowa,70.48,43.3805,-95.624,2016,8
Obrien,Iowa,72.92,43.0766,-95.6242,2016,8
Muscatine,Iowa,74.85,41.47,-91.0769,2016,8
Montgomery,Iowa,73.85,41.0305,-95.1562,2016,8
Monroe,Iowa,72.94,41.0265,-92.8691,2016,8
Monona,Iowa,72.03,42.0396,-95.9525,2016,8
Mitchell,Iowa,70.35,43.3501,-92.7891,2016,8
Mills,Iowa,73.65,41.0311,-95.6218,2016,8
