County,State,Average Temperature,Latitude (generated),Longitude (generated),Year,Month
Wright,Iowa,22,42.7343,-93.7351,2017,12
Worth,Iowa,18.44,43.3787,-93.2608,2017,12
Woodbury,Iowa,23.52,42.3866,-96.0407,2017,12
Winneshiek,Iowa,22.98,43.2932,-91.8426,2017,12
Winnebago,Iowa,20.29,43.3803,-93.7342,2017,12
Webster,Iowa,22.95,42.4344,-94.1647,2017,12
Wayne,Iowa,26.53,40.7372,-93.327,2017,12
Washington,Iowa,25.37,41.3304,-91.7158,2017,12
Warren,Iowa,26.73,41.3336,-93.5592,2017,12
Wapello,Iowa,26.21,41.0308,-92.4096,2017,12
Van Buren,Iowa,26.34,40.7517,-91.9485,2017,12
Union,Iowa,25.74,41.0298,-94.2429,2017,12
Taylor,Iowa,27.82,40.734,-94.7,2017,12
Tama,Iowa,23.52,42.0847,-92.533,2017,12
Story,Iowa,25.32,42.037,-93.4652,2017,12
Sioux,Iowa,23.29,43.0847,-96.1572,2017,12
Shelby,Iowa,26.63,41.6806,-95.3254,2017,12
Scott,Iowa,26.92,41.6065,-90.62,2017,12
Sac,Iowa,23.16,42.3887,-95.0899,2017,12
Ringgold,Iowa,26.53,40.7361,-94.2434,2017,12
Poweshiek,Iowa,24.24,41.6853,-92.5332,2017,12
Pottawattamie,Iowa,26.31,41.3347,-95.5518,2017,12
Polk,Iowa,26.05,41.6673,-93.5815,2017,12
Pocahontas,Iowa,22.35,42.7329,-94.6786,2017,12
Plymouth,Iowa,23.29,42.7356,-96.2455,2017,12
Palo Alto,Iowa,22.18,43.0818,-94.6781,2017,12
Page,Iowa,27.47,40.7362,-95.1569,2017,12
Osceola,Iowa,19.35,43.3805,-95.624,2017,12
Obrien,Iowa,23.16,43.0766,-95.6242,2017,12
Muscatine,Iowa,26.18,41.47,-91.0769,2017,12
Montgomery,Iowa,27.74,41.0305,-95.1562,2017,12
Monroe,Iowa,26.97,41.0265,-92.8691,2017,12
Monona,Iowa,25.48,42.0396,-95.9525,2017,12
Mitchell,Iowa,21.27,43.3501,-92.7891,2017,12
Mills,Iowa,27.56,41.0311,-95.6218,2017,12
Marshall,Iowa,24.02,42.0363,-92.9991,2017,12
Marion,Iowa,26.77,41.3353,-93.0995,2017,12
Mahaska,Iowa,25.76,41.3323,-92.6409,2017,12
Madison,Iowa,26.6,41.3347,-94.0158,2017,12
Lyon,Iowa,21.52,43.3789,-96.1922,2017,12
Lucas,Iowa,25.44,41.0271,-93.3276,2017,12
Louisa,Iowa,27.4,41.2473,-91.2998,2017,12
Linn,Iowa,25.65,42.0798,-91.5998,2017,12
Lee,Iowa,28.23,40.5953,-91.5386,2017,12
Kossuth,Iowa,21.79,43.2073,-94.2065,2017,12
Keokuk,Iowa,25.61,41.3368,-92.1791,2017,12
Jones,Iowa,25.13,42.1213,-91.1314,2017,12
Johnson,Iowa,25.48,41.645,-91.5998,2017,12
Jefferson,Iowa,27.58,41.036,-91.9487,2017,12
Jasper,Iowa,24.61,41.6847,-93.0574,2017,12
Jackson,Iowa,23.02,42.2091,-90.6306,2017,12
Iowa,Iowa,24.08,41.6805,-92.067,2017,12
Ida,Iowa,21.81,42.3883,-95.4964,2017,12
Humboldt,Iowa,22.6,42.7806,-94.2073,2017,12
Howard,Iowa,19.37,43.3561,-92.3172,2017,12
