County,State,Average Temperature,Latitude (generated),Longitude (generated),Year,Month
Wright,Iowa,16.32,42.7343,-93.7351,2019,2
Worth,Iowa,10.71,43.3787,-93.2608,2019,2
Woodbury,Iowa,17.29,42.3866,-96.0407,2019,2
Winneshiek,Iowa,20.14,43.2932,-91.8426,2019,2
Winnebago,Iowa,13.98,43.3803,-93.7342,2019,2
Webster,Iowa,15.96,42.4344,-94.1647,2019,2
Wayne,Iowa,25.04,40.7372,-93.327,2019,2
Washington,Iowa,22.66,41.3304,-91.7158,2019,2
Warren,Iowa,22.64,41.3336,-93.5592,2019,2
Wapello,Iowa,26.3,41.0308,-92.4096,2019,2
Van Buren,Iowa,25.89,40.7517,-91.9485,2019,2
Union,Iowa,22.32,41.0298,-94.2429,2019,2
Taylor,Iowa,24.68,40.734,-94.7,2019,2
Tama,Iowa,19.66,42.0847,-92.533,2019,2
Story,Iowa,21.93,42.037,-93.4652,2019,2
Sioux,Iowa,14.41,43.0847,-96.1572,2019,2
Shelby,Iowa,20.91,41.6806,-95.3254,2019,2
Scott,Iowa,23.93,41.6065,-90.62,2019,2
Sac,Iowa,15.75,42.3887,-95.0899,2019,2
Ringgold,Iowa,23.95,40.7361,-94.2434,2019,2
Poweshiek,Iowa,20.23,41.6853,-92.5332,2019,2
Pottawattamie,Iowa,20.8,41.3347,-95.5518,2019,2
Polk,Iowa,21.5,41.6673,-93.5815,2019,2
Pocahontas,Iowa,14.63,42.7329,-94.6786,2019,2
Plymouth,Iowa,14.41,42.7356,-96.2455,2019,2
Palo Alto,Iowa,17.13,43.0818,-94.6781,2019,2
Page,Iowa,24.02,40.7362,-95.1569,2019,2
Osceola,Iowa,11.95,43.3805,-95.624,2019,2
Obrien,Iowa,17.14,43.0766,-95.6242,2019,2
Muscatine,Iowa,23.34,41.47,-91.0769,2019,2
Montgomery,Iowa,23.45,41.0305,-95.1562,2019,2
Monroe,Iowa,24.38,41.0265,-92.8691,2019,2
Monona,Iowa,18.84,42.0396,-95.9525,2019,2
Mitchell,Iowa,16.2,43.3501,-92.7891,2019,2
Mills,Iowa,22.13,41.0311,-95.6218,2019,2
Marshall,Iowa,19.39,42.0363,-92.9991,2019,2
Marion,Iowa,23.32,41.3353,-93.0995,2019,2
Mahaska,Iowa,23.93,41.3323,-92.6409,2019,2
Madison,Iowa,23.14,41.3347,-94.0158,2019,2
Lyon,Iowa,13.61,43.3789,-96.1922,2019,2
Lucas,Iowa,22.95,41.0271,-93.3276,2019,2
Louisa,Iowa,25.27,41.2473,-91.2998,2019,2
Linn,Iowa,24.27,42.0798,-91.5998,2019,2
Lee,Iowa,27.3,40.5953,-91.5386,2019,2
Kossuth,Iowa,14.71,43.2073,-94.2065,2019,2
Keokuk,Iowa,20.46,41.3368,-92.1791,2019,2
Jones,Iowa,21.05,42.1213,-91.1314,2019,2
Johnson,Iowa,25.29,41.645,-91.5998,2019,2
Jefferson,Iowa,24.84,41.036,-91.9487,2019,2
Jasper,Iowa,20.66,41.6847,-93.0574,2019,2
Jackson,Iowa,20.23,42.2091,-90.6306,2019,2
Iowa,Iowa,21.13,41.6805,-92.067,2019,2
Ida,Iowa,16.95,42.3883,-95.4964,2019,2
Humboldt,Iowa,16.54,42.7806,-94.2073,2019,2
Howard,Iowa,15.16,43.3561,-92.3172,2019,2
Henry,Iowa,25.13,40.9933,-91.5447,2019,2
Harrison,Iowa,17.23,41.6861,-95.84,2019,2
Hardin,Iowa,17.98,42.376,-93.2326,2019,2
Hancock,Iowa,15.36,43.0894,-93.7341,2019,2
Hamilton,Iowa,15.68,42.3873,-93.6974,2019,2
Guthrie,Iowa,20.43,41.6815,-94.5123,2019,2
Grundy,Iowa,18.32,42.3803,-92.7681,2019,2
Greene,Iowa,18.41,42.0384,-94.397,2019,2
Fremont,Iowa,22.71,40.7414,-95.6361,2019,2
Franklin,Iowa,17.5,42.7302,-93.2624,2019,2
Floyd,Iowa,18.11,43.0597,-92.7887,2019,2
Fayette,Iowa,17.34,42.8639,-91.8442,2019,2
