County,State,Average Temperature,Latitude (generated),Longitude (generated),Year,Month
Wright,Iowa,16.98,42.7343,-93.7351,2016,1
Worth,Iowa,13.39,43.3787,-93.2608,2016,1
Woodbury,Iowa,22.1,42.3866,-96.0407,2016,1
Winneshiek,Iowa,17.97,43.2932,-91.8426,2016,1
Winnebago,Iowa,14.32,43.3803,-93.7342,2016,1
Webster,Iowa,16.9,42.4344,-94.1647,2016,1
Wayne,Iowa,21.9,40.7372,-93.327,2016,1
Washington,Iowa,22.34,41.3304,-91.7158,2016,1
Warren,Iowa,20.98,41.3336,-93.5592,2016,1
Wapello,Iowa,23.74,41.0308,-92.4096,2016,1
Van Buren,Iowa,23.85,40.7517,-91.9485,2016,1
Union,Iowa,20.34,41.0298,-94.2429,2016,1
Taylor,Iowa,21.87,40.734,-94.7,2016,1
Tama,Iowa,18.18,42.0847,-92.533,2016,1
Story,Iowa,20.34,42.037,-93.4652,2016,1
Sioux,Iowa,17.23,43.0847,-96.1572,2016,1
Shelby,Iowa,19.44,41.6806,-95.3254,2016,1
Scott,Iowa,22.44,41.6065,-90.62,2016,1
Sac,Iowa,16.45,42.3887,-95.0899,2016,1
Ringgold,Iowa,21.6,40.7361,-94.2434,2016,1
Poweshiek,Iowa,18.77,41.6853,-92.5332,2016,1
Pottawattamie,Iowa,20.06,41.3347,-95.5518,2016,1
Polk,Iowa,20.32,41.6673,-93.5815,2016,1
Pocahontas,Iowa,16.21,42.7329,-94.6786,2016,1
Plymouth,Iowa,17.23,42.7356,-96.2455,2016,1
Palo Alto,Iowa,15.92,43.0818,-94.6781,2016,1
Page,Iowa,22.58,40.7362,-95.1569,2016,1
Osceola,Iowa,14.1,43.3805,-95.624,2016,1
Obrien,Iowa,18.23,43.0766,-95.6242,2016,1
Muscatine,Iowa,22.4,41.47,-91.0769,2016,1
Montgomery,Iowa,22.47,41.0305,-95.1562,2016,1
Monroe,Iowa,22.27,41.0265,-92.8691,2016,1
Monona,Iowa,18.45,42.0396,-95.9525,2016,1
Mitchell,Iowa,15.08,43.3501,-92.7891,2016,1
Mills,Iowa,22.05,41.0311,-95.6218,2016,1
Marshall,Iowa,19,42.0363,-92.9991,2016,1
Marion,Iowa,21.81,41.3353,-93.0995,2016,1
Mahaska,Iowa,21.37,41.3323,-92.6409,2016,1
Madison,Iowa,20.66,41.3347,-94.0158,2016,1
Lyon,Iowa,16.18,43.3789,-96.1922,2016,1
Lucas,Iowa,21.03,41.0271,-93.3276,2016,1
Louisa,Iowa,23.16,41.2473,-91.2998,2016,1
Linn,Iowa,21.47,42.0798,-91.5998,2016,1
Lee,Iowa,24.27,40.5953,-91.5386,2016,1
Kossuth,Iowa,15.05,43.2073,-94.2065,2016,1
Keokuk,Iowa,21.42,41.3368,-92.1791,2016,1
Jones,Iowa,19.52,42.1213,-91.1314,2016,1
Johnson,Iowa,21.21,41.645,-91.5998,2016,1
Jefferson,Iowa,23.15,41.036,-91.9487,2016,1
Jasper,Iowa,19.56,41.6847,-93.0574,2016,1
Jackson,Iowa,18.11,42.2091,-90.6306,2016,1
Iowa,Iowa,19.61,41.6805,-92.067,2016,1
Ida,Iowa,17.6,42.3883,-95.4964,2016,1
Humboldt,Iowa,16.85,42.7806,-94.2073,2016,1
Howard,Iowa,15.29,43.3561,-92.3172,2016,1
Henry,Iowa,22.4,40.9933,-91.5447,2016,1
Harrison,Iowa,19.94,41.6861,-95.84,2016,1
Hardin,Iowa,17.16,42.376,-93.2326,2016,1
Hancock,Iowa,14.94,43.0894,-93.7341,2016,1
Hamilton,Iowa,17.03,42.3873,-93.6974,2016,1
Guthrie,Iowa,18.94,41.6815,-94.5123,2016,1
Grundy,Iowa,17.48,42.3803,-92.7681,2016,1
Greene,Iowa,17.84,42.0384,-94.397,2016,1
Fremont,Iowa,22.42,40.7414,-95.6361,2016,1
Franklin,Iowa,16.95,42.7302,-93.2624,2016,1
Floyd,Iowa,16.97,43.0597,-92.7887,2016,1
Fayette,Iowa,16.16,42.8639,-91.8442,2016,1
Emmet,Iowa,14.1,43.3757,-94.6784,2016,1
Dubuque,Iowa,20.31,42.485,-90.8953,2016,1
Dickinson,Iowa,13.71,43.3759,-95.1509,2016,1
Des Moines,Iowa,25.21,40.885,-91.1962,2016,1
Delaware,Iowa,16.87,42.471,-91.3709,2016,1
Decatur,Iowa,22.94,40.7401,-93.786,2016,1
Davis,Iowa,23.13,40.7369,-92.4085,2016,1
Dallas,Iowa,19.92,41.6806,-94.0474,2016,1
Crawford,Iowa,17.53,42.0372,-95.3818,2016,1
Clinton,Iowa,18.11,41.8816,-90.5324,2016,1
Clayton,Iowa,15.9,42.8621,-91.3526,2016,1
Clay,Iowa,16.92,43.0784,-95.1509,2016,1
Clarke,Iowa,21.87,41.0282,-93.7857,2016,1
Chickasaw,Iowa,14.69,43.0488,-92.3177,2016,1
Cherokee,Iowa,17.42,42.742,-95.6238,2016,1
Cerro Gordo,Iowa,16.08,43.0793,-93.2608,2016,1
Cedar,Iowa,22.24,41.7722,-91.1322,2016,1
Cass,Iowa,19.34,41.335,-94.9277,2016,1
Carroll,Iowa,17.81,42.0384,-94.8606,2016,1
Calhoun,Iowa,17.45,42.3806,-94.6272,2016,1
Butler,Iowa,16.32,42.7342,-92.7904,2016,1
Buena Vista,Iowa,16.56,42.7359,-95.1507,2016,1
Buchanan,Iowa,16.21,42.4728,-91.845,2016,1
Bremer,Iowa,16.32,42.7701,-92.3182,2016,1
Boone,Iowa,18.79,42.037,-93.9317,2016,1
Black Hawk,Iowa,18.71,42.4762,-92.318,2016,1
Benton,Iowa,17.94,42.0802,-92.067,2016,1
Audubon,Iowa,18.05,41.6815,-94.9186,2016,1
Appanoose,Iowa,23,40.743,-92.868,2016,1
Allamakee,Iowa,14.92,43.2887,-91.3442,2016,1
Adams,Iowa,20.66,41.0282,-94.6995,2016,1
Adair,Iowa,20.03,41.3297,-94.4707,2016,1
