County,State,Average Temperature,Latitude (generated),Longitude (generated),Year,Month
Wright,Iowa,72.4,42.7343,-93.7351,2016,7
Worth,Iowa,70.5,43.3787,-93.2608,2016,7
Woodbury,Iowa,76,42.3866,-96.0407,2016,7
Winneshiek,Iowa,72.35,43.2932,-91.8426,2016,7
Winnebago,Iowa,70.74,43.3803,-93.7342,2016,7
Webster,Iowa,71.42,42.4344,-94.1647,2016,7
Wayne,Iowa,73.68,40.7372,-93.327,2016,7
Washington,Iowa,73.55,41.3304,-91.7158,2016,7
Warren,Iowa,74.42,41.3336,-93.5592,2016,7
Wapello,Iowa,73.42,41.0308,-92.4096,2016,7
Van Buren,Iowa,74.32,40.7517,-91.9485,2016,7
Union,Iowa,73.18,41.0298,-94.2429,2016,7
Taylor,Iowa,74.58,40.734,-94.7,2016,7
Tama,Iowa,71.94,42.0847,-92.533,2016,7
Story,Iowa,74.21,42.037,-93.4652,2016,7
Sioux,Iowa,73,43.0847,-96.1572,2016,7
Shelby,Iowa,73.32,41.6806,-95.3254,2016,7
Scott,Iowa,75.19,41.6065,-90.62,2016,7
Sac,Iowa,71.85,42.3887,-95.0899,2016,7
Ringgold,Iowa,73.82,40.7361,-94.2434,2016,7
Poweshiek,Iowa,71.89,41.6853,-92.5332,2016,7
Pottawattamie,Iowa,73.56,41.3347,-95.5518,2016,7
Polk,Iowa,73.35,41.6673,-93.5815,2016,7
Pocahontas,Iowa,73.02,42.7329,-94.6786,2016,7
Plymouth,Iowa,73,42.7356,-96.2455,2016,7
Palo Alto,Iowa,73.06,43.0818,-94.6781,2016,7
Page,Iowa,72.42,40.7362,-95.1569,2016,7
Osceola,Iowa,71.58,43.3805,-95.624,2016,7
Obrien,Iowa,73.97,43.0766,-95.6242,2016,7
Muscatine,Iowa,74.44,41.47,-91.0769,2016,7
Montgomery,Iowa,74.95,41.0305,-95.1562,2016,7
Monroe,Iowa,73.21,41.0265,-92.8691,2016,7
Monona,Iowa,73.35,42.0396,-95.9525,2016,7
Mitchell,Iowa,71.11,43.3501,-92.7891,2016,7
Mills,Iowa,74.79,41.0311,-95.6218,2016,7
Marshall,Iowa,72.68,42.0363,-92.9991,2016,7
Marion,Iowa,74.06,41.3353,-93.0995,2016,7
Mahaska,Iowa,73.95,41.3323,-92.6409,2016,7
