County,State,Average Temperature,Latitude (generated),Longitude (generated),Year,Month
Wright,Iowa,70.43,42.7343,-93.7351,2017,6
Worth,Iowa,67.32,43.3787,-93.2608,2017,6
Woodbury,Iowa,72.75,42.3866,-96.0407,2017,6
Winneshiek,Iowa,69.33,43.2932,-91.8426,2017,6
Winnebago,Iowa,68.9,43.3803,-93.7342,2017,6
Webster,Iowa,69.63,42.4344,-94.1647,2017,6
Wayne,Iowa,71.58,40.7372,-93.327,2017,6
Washington,Iowa,71.4,41.3304,-91.7158,2017,6
Warren,Iowa,72.85,41.3336,-93.5592,2017,6
Wapello,Iowa,73.3,41.0308,-92.4096,2017,6
Van Buren,Iowa,72.38,40.7517,-91.9485,2017,6
Union,Iowa,71.78,41.0298,-94.2429,2017,6
Taylor,Iowa,72.57,40.734,-94.7,2017,6
Tama,Iowa,70.57,42.0847,-92.533,2017,6
Story,Iowa,72.83,42.037,-93.4652,2017,6
Sioux,Iowa,71.42,43.0847,-96.1572,2017,6
Shelby,Iowa,72.5,41.6806,-95.3254,2017,6
Scott,Iowa,73.22,41.6065,-90.62,2017,6
Sac,Iowa,69.82,42.3887,-95.0899,2017,6
Ringgold,Iowa,70.95,40.7361,-94.2434,2017,6
Poweshiek,Iowa,69.2,41.6853,-92.5332,2017,6
Pottawattamie,Iowa,72.55,41.3347,-95.5518,2017,6
Polk,Iowa,73.35,41.6673,-93.5815,2017,6
Pocahontas,Iowa,71.8,42.7329,-94.6786,2017,6
Plymouth,Iowa,71.42,42.7356,-96.2455,2017,6
Palo Alto,Iowa,70.88,43.0818,-94.6781,2017,6
Page,Iowa,71.2,40.7362,-95.1569,2017,6
Osceola,Iowa,69.6,43.3805,-95.624,2017,6
Obrien,Iowa,72.97,43.0766,-95.6242,2017,6
Muscatine,Iowa,72.85,41.47,-91.0769,2017,6
Montgomery,Iowa,72.62,41.0305,-95.1562,2017,6
Monroe,Iowa,71.78,41.0265,-92.8691,2017,6
Monona,Iowa,72.02,42.0396,-95.9525,2017,6
Mitchell,Iowa,70.58,43.3501,-92.7891,2017,6
Mills,Iowa,72.43,41.0311,-95.6218,2017,6
Marshall,Iowa,71.07,42.0363,-92.9991,2017,6
Marion,Iowa,72.75,41.3353,-93.0995,2017,6
Mahaska,Iowa,72.15,41.3323,-92.6409,2017,6
Madison,Iowa,71.55,41.3347,-94.0158,2017,6
Lyon,Iowa,70.42,43.3789,-96.1922,2017,6
Lucas,Iowa,69.48,41.0271,-93.3276,2017,6
Louisa,Iowa,73.57,41.2473,-91.2998,2017,6
Linn,Iowa,72.5,42.0798,-91.5998,2017,6
Lee,Iowa,73.63,40.5953,-91.5386,2017,6
Kossuth,Iowa,70.08,43.2073,-94.2065,2017,6
Keokuk,Iowa,72.57,41.3368,-92.1791,2017,6
Jones,Iowa,69.05,42.1213,-91.1314,2017,6
Johnson,Iowa,70.97,41.645,-91.5998,2017,6
Jefferson,Iowa,72.25,41.036,-91.9487,2017,6
Jasper,Iowa,72.55,41.6847,-93.0574,2017,6
Jackson,Iowa,70.05,42.2091,-90.6306,2017,6
Iowa,Iowa,71.9,41.6805,-92.067,2017,6
Ida,Iowa,71.38,42.3883,-95.4964,2017,6
Humboldt,Iowa,70.32,42.7806,-94.2073,2017,6
Howard,Iowa,68.32,43.3561,-92.3172,2017,6
Henry,Iowa,71.82,40.9933,-91.5447,2017,6
Harrison,Iowa,72.45,41.6861,-95.84,2017,6
Hardin,Iowa,70.92,42.376,-93.2326,2017,6
Hancock,Iowa,70.08,43.0894,-93.7341,2017,6
Hamilton,Iowa,69.25,42.3873,-93.6974,2017,6
Guthrie,Iowa,71.72,41.6815,-94.5123,2017,6
Grundy,Iowa,70.43,42.3803,-92.7681,2017,6
Greene,Iowa,71.93,42.0384,-94.397,2017,6
Fremont,Iowa,72.93,40.7414,-95.6361,2017,6
Franklin,Iowa,70.68,42.7302,-93.2624,2017,6
Floyd,Iowa,69.43,43.0597,-92.7887,2017,6
Fayette,Iowa,69.13,42.8639,-91.8442,2017,6
Emmet,Iowa,69.03,43.3757,-94.6784,2017,6
Dubuque,Iowa,70.43,42.485,-90.8953,2017,6
Dickinson,Iowa,69.73,43.3759,-95.1509,2017,6
Des Moines,Iowa,73.5,40.885,-91.1962,2017,6
Delaware,Iowa,69.02,42.471,-91.3709,2017,6
Decatur,Iowa,73.78,40.7401,-93.786,2017,6
Davis,Iowa,72.23,40.7369,-92.4085,2017,6
Dallas,Iowa,72.03,41.6806,-94.0474,2017,6
Crawford,Iowa,71.17,42.0372,-95.3818,2017,6
Clinton,Iowa,70.05,41.8816,-90.5324,2017,6
Clayton,Iowa,67.68,42.8621,-91.3526,2017,6
Clay,Iowa,70.75,43.0784,-95.1509,2017,6
Clarke,Iowa,72.12,41.0282,-93.7857,2017,6
Chickasaw,Iowa,68.6,43.0488,-92.3177,2017,6
Cherokee,Iowa,70.1,42.742,-95.6238,2017,6
Cerro Gordo,Iowa,69.75,43.0793,-93.2608,2017,6
