County,State,Average Temperature,Latitude (generated),Longitude (generated),Year,Month
Wright,Iowa,40.11,42.7343,-93.7351,2016,3
Worth,Iowa,39.08,43.3787,-93.2608,2016,3
Woodbury,Iowa,44.34,42.3866,-96.0407,2016,3
Winneshiek,Iowa,41.4,43.2932,-91.8426,2016,3
Winnebago,Iowa,38.32,43.3803,-93.7342,2016,3
Webster,Iowa,40.61,42.4344,-94.1647,2016,3
Wayne,Iowa,44.56,40.7372,-93.327,2016,3
Washington,Iowa,43.08,41.3304,-91.7158,2016,3
Warren,Iowa,43.97,41.3336,-93.5592,2016,3
Wapello,Iowa,44.92,41.0308,-92.4096,2016,3
Van Buren,Iowa,44.79,40.7517,-91.9485,2016,3
Union,Iowa,43.45,41.0298,-94.2429,2016,3
Taylor,Iowa,45.06,40.734,-94.7,2016,3
Tama,Iowa,39.71,42.0847,-92.533,2016,3
Story,Iowa,44.68,42.037,-93.4652,2016,3
Sioux,Iowa,40.63,43.0847,-96.1572,2016,3
Shelby,Iowa,43.26,41.6806,-95.3254,2016,3
Scott,Iowa,43.63,41.6065,-90.62,2016,3
Sac,Iowa,40.1,42.3887,-95.0899,2016,3
Ringgold,Iowa,44.06,40.7361,-94.2434,2016,3
Poweshiek,Iowa,40.63,41.6853,-92.5332,2016,3
Pottawattamie,Iowa,44.65,41.3347,-95.5518,2016,3
Polk,Iowa,43.4,41.6673,-93.5815,2016,3
Pocahontas,Iowa,40.03,42.7329,-94.6786,2016,3
Plymouth,Iowa,40.63,42.7356,-96.2455,2016,3
Palo Alto,Iowa,39.37,43.0818,-94.6781,2016,3
Page,Iowa,45.11,40.7362,-95.1569,2016,3
Osceola,Iowa,38,43.3805,-95.624,2016,3
Obrien,Iowa,42.39,43.0766,-95.6242,2016,3
Muscatine,Iowa,43.52,41.47,-91.0769,2016,3
Montgomery,Iowa,46.27,41.0305,-95.1562,2016,3
Monroe,Iowa,44,41.0265,-92.8691,2016,3
Monona,Iowa,42.55,42.0396,-95.9525,2016,3
Mitchell,Iowa,38.02,43.3501,-92.7891,2016,3
Mills,Iowa,45.89,41.0311,-95.6218,2016,3
Marshall,Iowa,41.29,42.0363,-92.9991,2016,3
Marion,Iowa,43.79,41.3353,-93.0995,2016,3
Mahaska,Iowa,43.44,41.3323,-92.6409,2016,3
Madison,Iowa,43.9,41.3347,-94.0158,2016,3
Lyon,Iowa,39.42,43.3789,-96.1922,2016,3
Lucas,Iowa,42.77,41.0271,-93.3276,2016,3
Louisa,Iowa,44.81,41.2473,-91.2998,2016,3
Linn,Iowa,44.39,42.0798,-91.5998,2016,3
Lee,Iowa,45.77,40.5953,-91.5386,2016,3
Kossuth,Iowa,38.52,43.2073,-94.2065,2016,3
Keokuk,Iowa,43.15,41.3368,-92.1791,2016,3
Jones,Iowa,41,42.1213,-91.1314,2016,3
Johnson,Iowa,42.61,41.645,-91.5998,2016,3
Jefferson,Iowa,44.11,41.036,-91.9487,2016,3
Jasper,Iowa,41.76,41.6847,-93.0574,2016,3
Jackson,Iowa,40.1,42.2091,-90.6306,2016,3
Iowa,Iowa,41.37,41.6805,-92.067,2016,3
Ida,Iowa,40.98,42.3883,-95.4964,2016,3
Humboldt,Iowa,40.1,42.7806,-94.2073,2016,3
Howard,Iowa,37.81,43.3561,-92.3172,2016,3
Henry,Iowa,43.1,40.9933,-91.5447,2016,3
Harrison,Iowa,44.47,41.6861,-95.84,2016,3
Hardin,Iowa,39.65,42.376,-93.2326,2016,3
Hancock,Iowa,39.06,43.0894,-93.7341,2016,3
