County,State,Average Temperature,Latitude (generated),Longitude (generated),Year,Month
Wright,Iowa,66.56,42.7343,-93.7351,2018,5
Worth,Iowa,63.16,43.3787,-93.2608,2018,5
Woodbury,Iowa,66.52,42.3866,-96.0407,2018,5
Winneshiek,Iowa,66,43.2932,-91.8426,2018,5
Winnebago,Iowa,64.74,43.3803,-93.7342,2018,5
Webster,Iowa,65.73,42.4344,-94.1647,2018,5
Wayne,Iowa,69.21,40.7372,-93.327,2018,5
Washington,Iowa,68,41.3304,-91.7158,2018,5
Warren,Iowa,67.5,41.3336,-93.5592,2018,5
Wapello,Iowa,70.15,41.0308,-92.4096,2018,5
Van Buren,Iowa,69.6,40.7517,-91.9485,2018,5
Union,Iowa,69.31,41.0298,-94.2429,2018,5
Taylor,Iowa,69.94,40.734,-94.7,2018,5
Tama,Iowa,67.02,42.0847,-92.533,2018,5
Story,Iowa,69.1,42.037,-93.4652,2018,5
Sioux,Iowa,65.5,43.0847,-96.1572,2018,5
Shelby,Iowa,67.56,41.6806,-95.3254,2018,5
Scott,Iowa,69,41.6065,-90.62,2018,5
Sac,Iowa,64.81,42.3887,-95.0899,2018,5
Ringgold,Iowa,68.45,40.7361,-94.2434,2018,5
Poweshiek,Iowa,66.03,41.6853,-92.5332,2018,5
Pottawattamie,Iowa,68.85,41.3347,-95.5518,2018,5
Polk,Iowa,67.76,41.6673,-93.5815,2018,5
Pocahontas,Iowa,66.21,42.7329,-94.6786,2018,5
Plymouth,Iowa,65.5,42.7356,-96.2455,2018,5
Palo Alto,Iowa,65.92,43.0818,-94.6781,2018,5
Page,Iowa,69.77,40.7362,-95.1569,2018,5
Osceola,Iowa,63.5,43.3805,-95.624,2018,5
Obrien,Iowa,67.19,43.0766,-95.6242,2018,5
Muscatine,Iowa,69.15,41.47,-91.0769,2018,5
Montgomery,Iowa,69.53,41.0305,-95.1562,2018,5
Monroe,Iowa,69.03,41.0265,-92.8691,2018,5
Monona,Iowa,66.79,42.0396,-95.9525,2018,5
Mitchell,Iowa,65.85,43.3501,-92.7891,2018,5
Mills,Iowa,68.9,41.0311,-95.6218,2018,5
Marshall,Iowa,67.08,42.0363,-92.9991,2018,5
Marion,Iowa,69.19,41.3353,-93.0995,2018,5
Mahaska,Iowa,69.34,41.3323,-92.6409,2018,5
Madison,Iowa,68.97,41.3347,-94.0158,2018,5
Lyon,Iowa,64.71,43.3789,-96.1922,2018,5
Lucas,Iowa,67.26,41.0271,-93.3276,2018,5
Louisa,Iowa,69.29,41.2473,-91.2998,2018,5
Linn,Iowa,68.82,42.0798,-91.5998,2018,5
Lee,Iowa,71.4,40.5953,-91.5386,2018,5
Kossuth,Iowa,65.71,43.2073,-94.2065,2018,5
Keokuk,Iowa,68.52,41.3368,-92.1791,2018,5
Jones,Iowa,67,42.1213,-91.1314,2018,5
Johnson,Iowa,69.45,41.645,-91.5998,2018,5
Jefferson,Iowa,69.26,41.036,-91.9487,2018,5
Jasper,Iowa,68.95,41.6847,-93.0574,2018,5
Jackson,Iowa,66.5,42.2091,-90.6306,2018,5
Iowa,Iowa,67.77,41.6805,-92.067,2018,5
Ida,Iowa,65.76,42.3883,-95.4964,2018,5
Humboldt,Iowa,65.89,42.7806,-94.2073,2018,5
Howard,Iowa,64.37,43.3561,-92.3172,2018,5
Henry,Iowa,68.42,40.9933,-91.5447,2018,5
Harrison,Iowa,67.44,41.6861,-95.84,2018,5
Hardin,Iowa,66.69,42.376,-93.2326,2018,5
Hancock,Iowa,65.56,43.0894,-93.7341,2018,5
Hamilton,Iowa,65.13,42.3873,-93.6974,2018,5
Guthrie,Iowa,66.89,41.6815,-94.5123,2018,5
Grundy,Iowa,67.05,42.3803,-92.7681,2018,5
Greene,Iowa,66.82,42.0384,-94.397,2018,5
Fremont,Iowa,69.65,40.7414,-95.6361,2018,5
Franklin,Iowa,66.47,42.7302,-93.2624,2018,5
Floyd,Iowa,64.92,43.0597,-92.7887,2018,5
Fayette,Iowa,65.23,42.8639,-91.8442,2018,5
Emmet,Iowa,63.82,43.3757,-94.6784,2018,5
Dubuque,Iowa,66.16,42.485,-90.8953,2018,5
Dickinson,Iowa,64.4,43.3759,-95.1509,2018,5
Des Moines,Iowa,71.18,40.885,-91.1962,2018,5
Delaware,Iowa,65.03,42.471,-91.3709,2018,5
Decatur,Iowa,71.9,40.7401,-93.786,2018,5
Davis,Iowa,69.76,40.7369,-92.4085,2018,5
Dallas,Iowa,68.24,41.6806,-94.0474,2018,5
Crawford,Iowa,66.65,42.0372,-95.3818,2018,5
Clinton,Iowa,66.5,41.8816,-90.5324,2018,5
Clayton,Iowa,64.6,42.8621,-91.3526,2018,5
Clay,Iowa,65.52,43.0784,-95.1509,2018,5
Clarke,Iowa,69.32,41.0282,-93.7857,2018,5
Chickasaw,Iowa,64.1,43.0488,-92.3177,2018,5
Cherokee,Iowa,64.5,42.742,-95.6238,2018,5
Cerro Gordo,Iowa,64.66,43.0793,-93.2608,2018,5
Cedar,Iowa,69,41.7722,-91.1322,2018,5
Cass,Iowa,68.08,41.335,-94.9277,2018,5
Carroll,Iowa,67.1,42.0384,-94.8606,2018,5
Calhoun,Iowa,66.97,42.3806,-94.6272,2018,5
Butler,Iowa,66.02,42.7342,-92.7904,2018,5
Buena Vista,Iowa,65.89,42.7359,-95.1507,2018,5
Buchanan,Iowa,66.19,42.4728,-91.845,2018,5
Bremer,Iowa,66.35,42.7701,-92.3182,2018,5
Boone,Iowa,67.23,42.037,-93.9317,2018,5
Black Hawk,Iowa,66.08,42.4762,-92.318,2018,5
Benton,Iowa,65.15,42.0802,-92.067,2018,5
Audubon,Iowa,65.48,41.6815,-94.9186,2018,5
Appanoose,Iowa,68.52,40.743,-92.868,2018,5
Allamakee,Iowa,64.35,43.2887,-91.3442,2018,5
Adams,Iowa,68.31,41.0282,-94.6995,2018,5
Adair,Iowa,67.94,41.3297,-94.4707,2018,5
