County,State,Average Temperature,Latitude (generated),Longitude (generated),Year,Month
Wright,Iowa,43.6,42.7343,-93.7351,2016,11
Worth,Iowa,41.4,43.3787,-93.2608,2016,11
Woodbury,Iowa,45.1,42.3866,-96.0407,2016,11
Winneshiek,Iowa,43.82,43.2932,-91.8426,2016,11
Winnebago,Iowa,42.57,43.3803,-93.7342,2016,11
Webster,Iowa,43.6,42.4344,-94.1647,2016,11
Wayne,Iowa,47.13,40.7372,-93.327,2016,11
Washington,Iowa,45.95,41.3304,-91.7158,2016,11
Warren,Iowa,47.27,41.3336,-93.5592,2016,11
Wapello,Iowa,47.38,41.0308,-92.4096,2016,11
Van Buren,Iowa,47.58,40.7517,-91.9485,2016,11
Union,Iowa,46.4,41.0298,-94.2429,2016,11
Taylor,Iowa,47.92,40.734,-94.7,2016,11
Tama,Iowa,44.4,42.0847,-92.533,2016,11
Story,Iowa,46.67,42.037,-93.4652,2016,11
Sioux,Iowa,43.53,43.0847,-96.1572,2016,11
Shelby,Iowa,45.9,41.6806,-95.3254,2016,11
Scott,Iowa,47.73,41.6065,-90.62,2016,11
Sac,Iowa,42.85,42.3887,-95.0899,2016,11
Ringgold,Iowa,45.88,40.7361,-94.2434,2016,11
Poweshiek,Iowa,44.48,41.6853,-92.5332,2016,11
Pottawattamie,Iowa,46,41.3347,-95.5518,2016,11
Polk,Iowa,46.22,41.6673,-93.5815,2016,11
Pocahontas,Iowa,43.75,42.7329,-94.6786,2016,11
Plymouth,Iowa,43.53,42.7356,-96.2455,2016,11
Palo Alto,Iowa,43.63,43.0818,-94.6781,2016,11
Page,Iowa,45.85,40.7362,-95.1569,2016,11
Osceola,Iowa,41.17,43.3805,-95.624,2016,11
Obrien,Iowa,45.07,43.0766,-95.6242,2016,11
Muscatine,Iowa,46.82,41.47,-91.0769,2016,11
Montgomery,Iowa,46.83,41.0305,-95.1562,2016,11
Monroe,Iowa,47.57,41.0265,-92.8691,2016,11
Monona,Iowa,45.18,42.0396,-95.9525,2016,11
Mitchell,Iowa,43.3,43.3501,-92.7891,2016,11
Mills,Iowa,45.93,41.0311,-95.6218,2016,11
Marshall,Iowa,44.95,42.0363,-92.9991,2016,11
Marion,Iowa,47.4,41.3353,-93.0995,2016,11
Mahaska,Iowa,46.67,41.3323,-92.6409,2016,11
Madison,Iowa,47.27,41.3347,-94.0158,2016,11
Lyon,Iowa,41.42,43.3789,-96.1922,2016,11
Lucas,Iowa,45.55,41.0271,-93.3276,2016,11
Louisa,Iowa,48.18,41.2473,-91.2998,2016,11
Linn,Iowa,46.48,42.0798,-91.5998,2016,11
Lee,Iowa,48.38,40.5953,-91.5386,2016,11
Kossuth,Iowa,43.13,43.2073,-94.2065,2016,11
Keokuk,Iowa,46.4,41.3368,-92.1791,2016,11
Jones,Iowa,45.03,42.1213,-91.1314,2016,11
Johnson,Iowa,45.25,41.645,-91.5998,2016,11
Jefferson,Iowa,47.1,41.036,-91.9487,2016,11
Jasper,Iowa,45.78,41.6847,-93.0574,2016,11
Jackson,Iowa,44.03,42.2091,-90.6306,2016,11
Iowa,Iowa,45.45,41.6805,-92.067,2016,11
