County,State,Average Temperature,Latitude (generated),Longitude (generated),Year,Month
Wright,Iowa,52.27,42.7343,-93.7351,2017,10
Worth,Iowa,48.84,43.3787,-93.2608,2017,10
Woodbury,Iowa,51.06,42.3866,-96.0407,2017,10
Winneshiek,Iowa,54.13,43.2932,-91.8426,2017,10
Winnebago,Iowa,50.4,43.3803,-93.7342,2017,10
Webster,Iowa,51.5,42.4344,-94.1647,2017,10
Wayne,Iowa,54.9,40.7372,-93.327,2017,10
Washington,Iowa,54.71,41.3304,-91.7158,2017,10
Warren,Iowa,55.56,41.3336,-93.5592,2017,10
Wapello,Iowa,55.45,41.0308,-92.4096,2017,10
Van Buren,Iowa,55.29,40.7517,-91.9485,2017,10
Union,Iowa,54.35,41.0298,-94.2429,2017,10
Taylor,Iowa,54.95,40.734,-94.7,2017,10
Tama,Iowa,53.23,42.0847,-92.533,2017,10
Story,Iowa,55.03,42.037,-93.4652,2017,10
Sioux,Iowa,50.82,43.0847,-96.1572,2017,10
Shelby,Iowa,54.02,41.6806,-95.3254,2017,10
Scott,Iowa,57.34,41.6065,-90.62,2017,10
Sac,Iowa,51.18,42.3887,-95.0899,2017,10
Ringgold,Iowa,53.77,40.7361,-94.2434,2017,10
Poweshiek,Iowa,53.03,41.6853,-92.5332,2017,10
Pottawattamie,Iowa,54.08,41.3347,-95.5518,2017,10
Polk,Iowa,54.97,41.6673,-93.5815,2017,10
Pocahontas,Iowa,51.55,42.7329,-94.6786,2017,10
Plymouth,Iowa,50.82,42.7356,-96.2455,2017,10
Palo Alto,Iowa,51.24,43.0818,-94.6781,2017,10
Page,Iowa,55.6,40.7362,-95.1569,2017,10
Osceola,Iowa,48.48,43.3805,-95.624,2017,10
Obrien,Iowa,52.53,43.0766,-95.6242,2017,10
Muscatine,Iowa,55.89,41.47,-91.0769,2017,10
Montgomery,Iowa,55.68,41.0305,-95.1562,2017,10
Monroe,Iowa,55.08,41.0265,-92.8691,2017,10
Monona,Iowa,52.4,42.0396,-95.9525,2017,10
Mitchell,Iowa,51.9,43.3501,-92.7891,2017,10
Mills,Iowa,54.58,41.0311,-95.6218,2017,10
Marshall,Iowa,53.5,42.0363,-92.9991,2017,10
Marion,Iowa,54.69,41.3353,-93.0995,2017,10
Mahaska,Iowa,54.89,41.3323,-92.6409,2017,10
Madison,Iowa,54.76,41.3347,-94.0158,2017,10
Lyon,Iowa,49.84,43.3789,-96.1922,2017,10
Lucas,Iowa,53.97,41.0271,-93.3276,2017,10
Louisa,Iowa,57.21,41.2473,-91.2998,2017,10
Linn,Iowa,55.9,42.0798,-91.5998,2017,10
Lee,Iowa,55.87,40.5953,-91.5386,2017,10
Kossuth,Iowa,50.89,43.2073,-94.2065,2017,10
Keokuk,Iowa,54.94,41.3368,-92.1791,2017,10
Jones,Iowa,53.71,42.1213,-91.1314,2017,10
Johnson,Iowa,54.31,41.645,-91.5998,2017,10
Jefferson,Iowa,55.92,41.036,-91.9487,2017,10
Jasper,Iowa,54.15,41.6847,-93.0574,2017,10
Jackson,Iowa,53.58,42.2091,-90.6306,2017,10
Iowa,Iowa,54.13,41.6805,-92.067,2017,10
Ida,Iowa,50.58,42.3883,-95.4964,2017,10
Humboldt,Iowa,51.53,42.7806,-94.2073,2017,10
Howard,Iowa,50.77,43.3561,-92.3172,2017,10
Henry,Iowa,55.08,40.9933,-91.5447,2017,10
Harrison,Iowa,53.52,41.6861,-95.84,2017,10
Hardin,Iowa,52.35,42.376,-93.2326,2017,10
Hancock,Iowa,51.18,43.0894,-93.7341,2017,10
Hamilton,Iowa,51.6,42.3873,-93.6974,2017,10
Guthrie,Iowa,52.82,41.6815,-94.5123,2017,10
Grundy,Iowa,52.79,42.3803,-92.7681,2017,10
Greene,Iowa,53.4,42.0384,-94.397,2017,10
Fremont,Iowa,54.98,40.7414,-95.6361,2017,10
Franklin,Iowa,52.76,42.7302,-93.2624,2017,10
Floyd,Iowa,51.71,43.0597,-92.7887,2017,10
Fayette,Iowa,52.52,42.8639,-91.8442,2017,10
Emmet,Iowa,48.97,43.3757,-94.6784,2017,10
Dubuque,Iowa,54.1,42.485,-90.8953,2017,10
Dickinson,Iowa,49.9,43.3759,-95.1509,2017,10
Des Moines,Iowa,57.48,40.885,-91.1962,2017,10
Delaware,Iowa,52.02,42.471,-91.3709,2017,10
Decatur,Iowa,56.29,40.7401,-93.786,2017,10
Davis,Iowa,55.6,40.7369,-92.4085,2017,10
Dallas,Iowa,54.05,41.6806,-94.0474,2017,10
Crawford,Iowa,51.63,42.0372,-95.3818,2017,10
Clinton,Iowa,53.58,41.8816,-90.5324,2017,10
Clayton,Iowa,52.21,42.8621,-91.3526,2017,10
Clay,Iowa,49.98,43.0784,-95.1509,2017,10
Clarke,Iowa,55.27,41.0282,-93.7857,2017,10
Chickasaw,Iowa,51.11,43.0488,-92.3177,2017,10
Cherokee,Iowa,50,42.742,-95.6238,2017,10
Cerro Gordo,Iowa,51.85,43.0793,-93.2608,2017,10
Cedar,Iowa,54.79,41.7722,-91.1322,2017,10
Cass,Iowa,54.56,41.335,-94.9277,2017,10
Carroll,Iowa,53.63,42.0384,-94.8606,2017,10
Calhoun,Iowa,52.6,42.3806,-94.6272,2017,10
Butler,Iowa,52.76,42.7342,-92.7904,2017,10
Buena Vista,Iowa,51.03,42.7359,-95.1507,2017,10
Buchanan,Iowa,51.74,42.4728,-91.845,2017,10
Bremer,Iowa,53,42.7701,-92.3182,2017,10
Boone,Iowa,53.5,42.037,-93.9317,2017,10
Black Hawk,Iowa,52.31,42.4762,-92.318,2017,10
Benton,Iowa,51.58,42.0802,-92.067,2017,10
Audubon,Iowa,52.27,41.6815,-94.9186,2017,10
Appanoose,Iowa,55.05,40.743,-92.868,2017,10
Allamakee,Iowa,50.65,43.2887,-91.3442,2017,10
Adams,Iowa,54.35,41.0282,-94.6995,2017,10
Adair,Iowa,53.84,41.3297,-94.4707,2017,10
