County,State,Average Temperature,Latitude (generated),Longitude (generated),Year,Month
Wright,Iowa,66.68,42.7343,-93.7351,2016,9
Worth,Iowa,62.98,43.3787,-93.2608,2016,9
Woodbury,Iowa,67.8,42.3866,-96.0407,2016,9
Winneshiek,Iowa,66.67,43.2932,-91.8426,2016,9
Winnebago,Iowa,64.3,43.3803,-93.7342,2016,9
Webster,Iowa,65.05,42.4344,-94.1647,2016,9
Wayne,Iowa,68.35,40.7372,-93.327,2016,9
Washington,Iowa,69.25,41.3304,-91.7158,2016,9
Warren,Iowa,69.8,41.3336,-93.5592,2016,9
Wapello,Iowa,69.38,41.0308,-92.4096,2016,9
Van Buren,Iowa,70.1,40.7517,-91.9485,2016,9
Union,Iowa,68.33,41.0298,-94.2429,2016,9
Taylor,Iowa,69.32,40.734,-94.7,2016,9
Tama,Iowa,66.78,42.0847,-92.533,2016,9
Story,Iowa,69.08,42.037,-93.4652,2016,9
Sioux,Iowa,65.43,43.0847,-96.1572,2016,9
Shelby,Iowa,67.53,41.6806,-95.3254,2016,9
Scott,Iowa,70.48,41.6065,-90.62,2016,9
Sac,Iowa,65.17,42.3887,-95.0899,2016,9
Ringgold,Iowa,68.33,40.7361,-94.2434,2016,9
Poweshiek,Iowa,66.93,41.6853,-92.5332,2016,9
Pottawattamie,Iowa,68.17,41.3347,-95.5518,2016,9
Polk,Iowa,69.33,41.6673,-93.5815,2016,9
Pocahontas,Iowa,66.27,42.7329,-94.6786,2016,9
Plymouth,Iowa,65.43,42.7356,-96.2455,2016,9
Palo Alto,Iowa,66,43.0818,-94.6781,2016,9
Page,Iowa,67.92,40.7362,-95.1569,2016,9
Osceola,Iowa,63.97,43.3805,-95.624,2016,9
Obrien,Iowa,66.9,43.0766,-95.6242,2016,9
Muscatine,Iowa,70.32,41.47,-91.0769,2016,9
Montgomery,Iowa,69.65,41.0305,-95.1562,2016,9
Monroe,Iowa,68.17,41.0265,-92.8691,2016,9
Monona,Iowa,66.47,42.0396,-95.9525,2016,9
Mitchell,Iowa,64.8,43.3501,-92.7891,2016,9
Mills,Iowa,69.17,41.0311,-95.6218,2016,9
Marshall,Iowa,67.55,42.0363,-92.9991,2016,9
Marion,Iowa,69.07,41.3353,-93.0995,2016,9
Mahaska,Iowa,69.58,41.3323,-92.6409,2016,9
Madison,Iowa,68.65,41.3347,-94.0158,2016,9
Lyon,Iowa,65.4,43.3789,-96.1922,2016,9
Lucas,Iowa,67.58,41.0271,-93.3276,2016,9
Louisa,Iowa,70.48,41.2473,-91.2998,2016,9
Linn,Iowa,69.52,42.0798,-91.5998,2016,9
Lee,Iowa,70.82,40.5953,-91.5386,2016,9
Kossuth,Iowa,65.35,43.2073,-94.2065,2016,9
Keokuk,Iowa,69.48,41.3368,-92.1791,2016,9
Jones,Iowa,66.88,42.1213,-91.1314,2016,9
Johnson,Iowa,69.02,41.645,-91.5998,2016,9
Jefferson,Iowa,70.1,41.036,-91.9487,2016,9
Jasper,Iowa,68.7,41.6847,-93.0574,2016,9
Jackson,Iowa,67.15,42.2091,-90.6306,2016,9
Iowa,Iowa,68.75,41.6805,-92.067,2016,9
Ida,Iowa,66.03,42.3883,-95.4964,2016,9
Humboldt,Iowa,65.67,42.7806,-94.2073,2016,9
Howard,Iowa,63.85,43.3561,-92.3172,2016,9
Henry,Iowa,68.72,40.9933,-91.5447,2016,9
Harrison,Iowa,67.93,41.6861,-95.84,2016,9
Hardin,Iowa,66.5,42.376,-93.2326,2016,9
Hancock,Iowa,65.02,43.0894,-93.7341,2016,9
Hamilton,Iowa,65.72,42.3873,-93.6974,2016,9
Guthrie,Iowa,67.05,41.6815,-94.5123,2016,9
Grundy,Iowa,66.67,42.3803,-92.7681,2016,9
Greene,Iowa,67.45,42.0384,-94.397,2016,9
Fremont,Iowa,68.95,40.7414,-95.6361,2016,9
Franklin,Iowa,66.65,42.7302,-93.2624,2016,9
Floyd,Iowa,65.18,43.0597,-92.7887,2016,9
Fayette,Iowa,65.02,42.8639,-91.8442,2016,9
Emmet,Iowa,63.8,43.3757,-94.6784,2016,9
Dubuque,Iowa,67.03,42.485,-90.8953,2016,9
Dickinson,Iowa,64.2,43.3759,-95.1509,2016,9
Des Moines,Iowa,70.55,40.885,-91.1962,2016,9
Delaware,Iowa,65,42.471,-91.3709,2016,9
Decatur,Iowa,70.83,40.7401,-93.786,2016,9
Davis,Iowa,69.82,40.7369,-92.4085,2016,9
Dallas,Iowa,68.83,41.6806,-94.0474,2016,9
Crawford,Iowa,65.78,42.0372,-95.3818,2016,9
Clinton,Iowa,67.15,41.8816,-90.5324,2016,9
Clayton,Iowa,64.5,42.8621,-91.3526,2016,9
Clay,Iowa,65.45,43.0784,-95.1509,2016,9
Clarke,Iowa,69.35,41.0282,-93.7857,2016,9
Chickasaw,Iowa,64.15,43.0488,-92.3177,2016,9
Cherokee,Iowa,65.28,42.742,-95.6238,2016,9
Cerro Gordo,Iowa,65.07,43.0793,-93.2608,2016,9
Cedar,Iowa,68.77,41.7722,-91.1322,2016,9
Cass,Iowa,68.33,41.335,-94.9277,2016,9
Carroll,Iowa,66.85,42.0384,-94.8606,2016,9
Calhoun,Iowa,66.25,42.3806,-94.6272,2016,9
Butler,Iowa,65.75,42.7342,-92.7904,2016,9
Buena Vista,Iowa,65.83,42.7359,-95.1507,2016,9
Buchanan,Iowa,64.62,42.4728,-91.845,2016,9
Bremer,Iowa,65.97,42.7701,-92.3182,2016,9
Boone,Iowa,67.03,42.037,-93.9317,2016,9
Black Hawk,Iowa,66.82,42.4762,-92.318,2016,9
Benton,Iowa,65.95,42.0802,-92.067,2016,9
Audubon,Iowa,66.25,41.6815,-94.9186,2016,9
Appanoose,Iowa,68.77,40.743,-92.868,2016,9
Allamakee,Iowa,63.4,43.2887,-91.3442,2016,9
Adams,Iowa,68.98,41.0282,-94.6995,2016,9
Adair,Iowa,68.03,41.3297,-94.4707,2016,9
